Anime,Rating
Cowboy Bebop,82.06
Cowboy Bebop: Knockin' on Heaven's Door,81.85
Trigun,81.75
Witch Hunter Robin,72.17
Beet the Vandel Buster,68.72
Eyeshield 21,78.56
Honey and Clover,79.78
Hungry Heart: Wild Striker,74.18
Initial D Fourth Stage,79.84
Monster,82.03
Naruto,79.91
One Piece,83.21
Prince of Tennis,78.21
Ring ni Kakero 1,67.52
School Rumble,78.56
Desert Punk,71.79
Texhnolyze,76.76
Trinity Blood,71.57
Yakitate!! Japan,77.7
Zipang,73.57
Neon Genesis Evangelion,82.04
Neon Genesis Evangelion: Death & Rebirth,72.05
Neon Genesis Evangelion: The End of Evangelion,82.04
Kenpuu Denki Berserk,81.96
Ghost in the Shell,81.68
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,81.88
Rurouni Kenshin: Meiji Kenkaku Romantan,81.64
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,73.82
Akira,80.65
.hack//Sign,69.06
Aa! Megami-sama! (TV),73.2
Tenshi Kinryouku,61.3
Kidou Tenshi Angelic Layer,72.27
Ai Yori Aoshi,70.21
Appleseed (Movie),70.4
Arc the Lad,64.4
Avenger,59.06
Beck,80.6
Blue Gender,69.36
Chobits,73.88
Chrno Crusade,75.49
D.N.Angel,69.61
D.C.: Da Capo,66.1
DearS,64.13
Rozen Maiden,73.07
Rozen Maiden: Träumend,75.24
Azumanga Daioh,79.03
Basilisk: Kouga Ninpou Chou,74.34
Black Cat,72.46
Cluster Edge,63.07
Full Metal Panic!,76.29
Full Metal Panic? Fumoffu,80.81
Full Metal Panic! The Second Raid,80.09
Gakuen Alice,77.07
Soukyuu no Fafner: Dead Aggressor,71.23
Mahou Shoujo Lyrical Nanoha,73.4
Mahou Shoujo Lyrical Nanoha A's,78.66
Shuffle!,69.32
Mobile Suit Gundam,76.49
Mobile Suit Gundam: The 08th MS Team,78.95
Mobile Suit Gundam 0080: War in the Pocket,78.48
Mobile Suit Gundam: The 08th MS Team - Miller's Report,67.18
Mobile Suit Gundam 0083: Stardust Memory,71.38
Mobile Suit Zeta Gundam,78.07
Mobile Suit Gundam ZZ,66.04
Mobile Suit Gundam: Char's Counterattack,74.0
Mobile Suit Gundam F91,65.45
Mobile Suit Victory Gundam,65.14
Mobile Suit Gundam Wing,74.92
Mobile Suit Gundam Wing: Endless Waltz,77.9
Kidou Shinseiki Gundam X,72.38
Mobile Suit Gundam SEED,75.81
Mobile Suit Gundam SEED Destiny,68.84
Turn A Gundam,77.86
Mobile Fighter G Gundam,76.06
Last Exile,78.38
Mai-HiME,72.68
Mai-Otome,71.09
Shin Shirayuki-hime Densetsu Prétear,72.08
Air Movie,70.02
Aishiteruze Baby★★,75.07
Akazukin Chacha,66.93
Ayashi no Ceres,70.24
Boys Be...,62.92
Hana yori Dango,74.19
Ou Dorobou Jing,70.0
Ou Dorobou Jing in Seventh Heaven,70.95
Bakuretsu Tenshi,66.81
Chuuka Ichiban!,73.24
Corrector Yui,66.97
Chou Henshin Cosprayers,52.26
Uchuu no Stellvia,73.65
Sakigake!! Cromartie Koukou,77.6
El Hazard: The Alternative World,68.01
El Hazard: The Wanderers,68.21
El Hazard: The Magnificent World,72.0
El Hazard 2: The Magnificent World,66.34
Final Approach,64.85
Fruits Basket,77.62
Fullmetal Alchemist,82.03
