Anime,Rating
One Piece,83.21
Cowboy Bebop,82.06
Neon Genesis Evangelion: The End of Evangelion,82.04
Neon Genesis Evangelion,82.04
Monster,82.03
Fullmetal Alchemist,82.03
Kenpuu Denki Berserk,81.96
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,81.88
Cowboy Bebop: Knockin' on Heaven's Door,81.85
Trigun,81.75
Ghost in the Shell,81.68
Rurouni Kenshin: Meiji Kenkaku Romantan,81.64
Full Metal Panic? Fumoffu,80.81
Akira,80.65
Beck,80.6
Full Metal Panic! The Second Raid,80.09
Naruto,79.91
Initial D Fourth Stage,79.84
Honey and Clover,79.78
Azumanga Daioh,79.03
Mobile Suit Gundam: The 08th MS Team,78.95
Mahou Shoujo Lyrical Nanoha A's,78.66
School Rumble,78.56
Eyeshield 21,78.56
Mobile Suit Gundam 0080: War in the Pocket,78.48
Last Exile,78.38
Prince of Tennis,78.21
Mobile Suit Zeta Gundam,78.07
Mobile Suit Gundam Wing: Endless Waltz,77.9
Turn A Gundam,77.86
Yakitate!! Japan,77.7
Fruits Basket,77.62
Sakigake!! Cromartie Koukou,77.6
Gakuen Alice,77.07
Texhnolyze,76.76
Mobile Suit Gundam,76.49
Full Metal Panic!,76.29
Mobile Fighter G Gundam,76.06
Mobile Suit Gundam SEED,75.81
Chrno Crusade,75.49
Rozen Maiden: Träumend,75.24
Aishiteruze Baby★★,75.07
Mobile Suit Gundam Wing,74.92
Basilisk: Kouga Ninpou Chou,74.34
Hana yori Dango,74.19
Hungry Heart: Wild Striker,74.18
Mobile Suit Gundam: Char's Counterattack,74.0
Chobits,73.88
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,73.82
Uchuu no Stellvia,73.65
Zipang,73.57
Mahou Shoujo Lyrical Nanoha,73.4
Chuuka Ichiban!,73.24
Aa! Megami-sama! (TV),73.2
Rozen Maiden,73.07
Mai-HiME,72.68
Black Cat,72.46
Kidou Shinseiki Gundam X,72.38
Kidou Tenshi Angelic Layer,72.27
Witch Hunter Robin,72.17
Shin Shirayuki-hime Densetsu Prétear,72.08
Neon Genesis Evangelion: Death & Rebirth,72.05
El Hazard: The Magnificent World,72.0
Desert Punk,71.79
Trinity Blood,71.57
Mobile Suit Gundam 0083: Stardust Memory,71.38
Soukyuu no Fafner: Dead Aggressor,71.23
Mai-Otome,71.09
Ou Dorobou Jing in Seventh Heaven,70.95
Appleseed (Movie),70.4
Ayashi no Ceres,70.24
Ai Yori Aoshi,70.21
Air Movie,70.02
Ou Dorobou Jing,70.0
D.N.Angel,69.61
Blue Gender,69.36
Shuffle!,69.32
.hack//Sign,69.06
Mobile Suit Gundam SEED Destiny,68.84
Beet the Vandel Buster,68.72
El Hazard: The Wanderers,68.21
El Hazard: The Alternative World,68.01
Ring ni Kakero 1,67.52
Mobile Suit Gundam: The 08th MS Team - Miller's Report,67.18
Corrector Yui,66.97
Akazukin Chacha,66.93
Bakuretsu Tenshi,66.81
El Hazard 2: The Magnificent World,66.34
D.C.: Da Capo,66.1
Mobile Suit Gundam ZZ,66.04
Mobile Suit Gundam F91,65.45
Mobile Suit Victory Gundam,65.14
Final Approach,64.85
Arc the Lad,64.4
DearS,64.13
Cluster Edge,63.07
Boys Be...,62.92
Tenshi Kinryouku,61.3
Avenger,59.06
Chou Henshin Cosprayers,52.26
